Site	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
751	6	141	36	8308	175	-210	385	106	-108	106	-108	352	78	1	96	213	4	213	4
753	17	150	37	8833	195	-210	405	121	-104	121	-104	320	71	1	96	193	5	193	5
755	0	154	38	8480	173	-228	401	101	-116	101	-116	392	84	2	93	229	7	229	7
756	12	158	40	8062	180	-215	395	107	-99	107	-99	448	96	2	92	260	7	260	7
757	-11	153	39	7858	153	-232	385	82	-118	82	-118	519	109	2	91	297	9	297	9
758	-28	146	38	7809	133	-242	375	64	-124	64	-135	537	113	2	92	309	11	309	11
760	-11	150	38	8095	157	-229	386	84	-122	84	-122	498	103	2	91	283	10	283	10
761	-49	135	36	8099	114	-253	367	48	-148	48	-158	403	89	3	93	240	11	240	12
762	-34	136	36	8318	134	-239	373	66	-137	66	-146	346	76	3	93	206	11	206	11
763	-28	137	36	8290	139	-233	372	71	-131	71	-140	344	75	3	92	205	11	205	11
765	-1	147	42	7153	158	-192	350	86	-88	86	-96	486	107	2	97	295	10	295	10
766	-1	145	41	7105	157	-192	349	85	-88	85	-96	494	109	2	97	301	10	301	11
767	16	146	42	7013	175	-172	347	102	-70	102	-77	510	113	2	98	313	10	313	11
768	15	143	42	6833	169	-168	337	99	-67	99	-76	534	119	3	98	328	11	328	12
770	-19	142	40	7434	142	-212	354	72	-109	72	-117	477	107	3	98	292	11	292	11
771	-33	140	39	7684	130	-228	358	61	-126	61	-134	457	105	3	98	281	10	281	11
772	-30	140	38	7813	135	-227	362	65	-124	65	-133	444	102	3	98	274	10	274	11
773	-24	142	38	8056	145	-226	371	74	-122	74	-130	420	98	3	98	259	9	259	9
774	-29	143	39	7854	138	-228	366	67	-124	67	-133	423	97	3	97	259	10	259	11
775	-34	142	38	7939	134	-234	368	63	-130	63	-139	412	95	3	97	252	10	252	11
776	-31	142	39	7605	132	-227	359	62	-123	62	-132	438	99	3	97	267	10	267	11
777	-26	138	37	8137	142	-228	370	72	-126	72	-135	359	79	3	94	215	11	215	11
778	-28	137	36	8317	141	-232	373	72	-131	72	-139	327	72	3	92	196	11	196	11
779	-34	138	36	8378	137	-242	379	67	-138	67	-146	361	79	2	91	215	9	215	9
780	-40	138	36	8325	128	-249	377	60	-143	60	-152	377	83	2	93	225	9	225	9
781	-33	140	36	8371	136	-245	381	67	-137	67	-146	373	82	2	92	222	9	222	9
782	16	135	35	8317	184	-194	378	116	-87	116	-98	400	89	1	96	242	5	242	5
783	14	134	35	8374	183	-195	378	115	-89	115	-101	398	89	1	96	242	5	242	5
784	5	139	35	8781	184	-207	391	111	-103	111	-113	273	63	1	101	174	4	174	4
785	6	144	35	9019	194	-207	401	117	-105	117	-113	206	43	1	92	127	5	127	6
786	36	148	36	9091	229	-178	407	148	-75	148	-85	160	37	2	82	90	7	90	8
787	0	141	35	9022	187	-211	398	112	-110	112	-119	209	46	2	91	128	6	128	8
788	40	146	34	9693	237	-187	424	158	-80	158	-92	151	34	2	89	90	7	90	8
789	13	147	34	9534	209	-212	421	132	-103	132	-114	112	26	1	91	70	5	70	5
791	-3	147	36	9012	185	-215	400	109	-113	109	-121	116	29	1	102	76	3	76	3
794	-47	141	37	8271	128	-245	373	57	-144	57	-154	221	58	1	106	147	3	147	4
795	-44	140	38	8099	128	-237	365	57	-138	57	-149	245	66	1	110	166	3	166	4
796	-54	140	38	7958	116	-245	361	45	-146	45	-157	273	75	1	113	187	3	187	4
797	-43	143	39	8089	130	-236	366	58	-137	58	-147	268	75	1	112	185	3	185	4
798	-44	150	40	8212	130	-245	375	58	-140	58	-150	285	85	0	118	202	2	202	4
799	-37	153	40	8288	138	-241	379	66	-135	66	-144	299	89	0	119	212	3	212	5
800	-44	153	40	8285	132	-246	378	60	-141	60	-150	290	87	0	116	206	2	206	4
801	-37	152	40	8222	138	-240	378	66	-133	66	-143	307	90	1	116	216	5	216	6
802	-46	149	39	8130	127	-247	374	56	-140	56	-150	319	91	1	115	223	5	223	6
803	-66	147	39	7985	103	-266	369	34	-158	34	-168	335	93	1	115	232	5	232	6
804	-24	149	40	7913	144	-228	372	74	-117	74	-127	368	98	2	113	252	6	252	6
805	-29	150	40	7838	137	-234	371	67	-115	67	-132	366	97	2	113	252	6	252	6
814	-3	129	35	8200	161	-205	366	95	-115	95	-115	370	87	1	104	238	4	238	4
