ID	Site	Long	Lat	Ele.m	pH	SOC	SCNratio	DOC	plant.species.richness	plant.shannon.diversity	vege.type	Coleoptera	Diptera	Lepidoptera	Hymenoptera	Tubificida	Acariformes	Hemiptera	Protura	Araneae	Isopoda	Collembola	Opisthopora	Bdelloidea	Tylenchida	Aphelenchida	Rhabditida	Enoplida	Dorylaimida	Others	Arthropoda	Nematoda	faunal.richness	faunal.abundance	faunal.evenness
1	751	100.88	36.32	3282	7.51	3.02	9.27	164.98	10	1.34	AS	1039	0	0	0	0	0	0	520	0	0	0	0	0	520	0	0	0	0	0	1039	520	3	2079	0.374879837
2	753	100.22	35.98	3080	8.13	1.66	15.20	159.36	9	1.23	AS	520	1039	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2079	0	3	2079	0.374879837
3	755	100.48	35.55	3320	7.73	5.45	11.11	260.35	28	2.17	AM	520	520	0	0	520	520	0	0	0	0	0	0	0	2079	3118	0	0	0	0	1559	5197	6	7277	0.285635774
4	756	100.92	35.35	3366	7.88	1.92	14.26	137.82	15	2.00	AS	0	0	0	520	0	520	0	0	0	0	0	0	0	2079	0	0	0	0	0	1039	2079	3	3119	0.499893145
5	757	100.82	34.85	3663	7.46	10.98	11.89	261.97	21	1.73	AM	0	520	0	520	0	0	0	0	0	520	0	0	0	4158	2079	0	0	0	0	1559	6236	5	7797	0.368830752
6	758	100.38	34.47	4250	6.88	7.78	12.62	54.39	18	2.08	AM	0	520	0	1039	0	0	0	0	0	1559	0	0	0	2598	4158	0	0	2598	0	3118	9354	6	12472	0.222233364
7	760	100.22	34.53	3728	7.21	7.69	12.42	263.12	27	2.15	AM	0	520	0	0	1039	0	0	0	0	0	0	0	0	1039	2079	0	0	0	0	520	3118	4	4677	0.308657834
8	761	98.97	34.83	4505	7.74	13.85	13.27	29.72	8	1.08	AM	0	0	0	520	0	0	0	0	0	0	0	0	0	0	4677	3118	0	0	0	520	7795	3	8315	0.460905557
9	762	98.57	34.98	4305	8.56	1.55	26.93	35.29	6	1.09	AS	1039	0	520	1039	0	0	0	0	0	0	0	0	0	1039	0	0	0	0	0	2598	1039	4	3637	0.265272473
10	763	98.45	34.85	4230	8.80	1.41	27.88	31.89	18	1.61	AS	0	0	0	0	0	0	0	0	0	0	0	520	0	520	1039	0	0	0	0	0	1559	3	2079	0.374879837
11	765	96.92	33.02	3825	7.78	5.39	11.87	165.90	20	1.93	AM	0	520	0	0	0	0	0	0	0	0	520	0	0	2598	6236	0	0	0	0	1039	8835	4	9874	0.473641572
12	766	96.73	32.88	4258	6.92	16.07	11.67	272.71	24	2.07	AM	520	520	0	1559	0	0	0	0	0	0	0	0	0	5197	0	520	0	0	0	2598	5717	5	8316	0.437424851
13	767	96.55	32.58	4076	7.15	11.51	12.63	222.55	22	2.24	AM	0	0	0	520	0	0	0	0	0	0	0	0	0	5197	2598	1559	0	0	0	520	9354	4	9874	0.373957294
14	768	96.38	32.00	4177	7.09	9.64	12.51	194.39	13	1.88	AM	0	520	0	0	0	0	0	0	2079	520	0	0	0	2079	1559	520	520	0	0	3118	4677	7	7797	0.199965805
15	770	96.35	33.27	4284	6.71	9.26	14.04	426.00	12	1.63	AM	0	0	0	520	0	0	0	0	0	0	0	0	0	0	1039	0	1559	0	0	520	2598	3	3118	0.388853276
16	771	96.00	33.58	4234	7.41	10.64	12.49	355.79	16	1.62	AM	0	1039	0	520	0	0	0	0	0	0	0	0	0	0	1559	1039	0	0	0	1559	2598	4	4157	0.281234981
17	772	95.87	33.72	4233	7.48	7.51	11.80	217.09	10	1.33	AM	0	0	0	520	0	0	520	0	0	0	0	0	0	2079	0	0	0	520	0	1039	2598	4	3639	0.387654173
18	773	95.70	33.93	4152	7.53	9.84	12.45	346.23	12	1.71	AM	0	520	0	0	0	0	0	0	0	0	0	0	0	0	2079	0	0	0	520	520	2079	3	3119	0.499893145
19	774	96.37	33.97	4224	7.03	7.98	11.13	276.41	17	1.89	AM	0	1039	0	0	0	0	0	0	0	0	0	0	0	2598	520	1559	0	0	0	1039	4677	4	5716	0.322288032
20	775	96.20	34.10	4366	7.20	7.75	11.71	512.44	19	1.85	AM	0	1039	0	0	0	0	0	0	0	0	0	0	0	1039	520	0	0	0	0	1039	1559	3	2598	0.35993845
