Site,Long,Lat
751,100.88,36.32
753,100.22,35.98
755,100.48,35.55
756,100.92,35.35
757,100.82,34.85
758,100.38,34.47
760,100.22,34.53
761,98.97,34.83
762,98.57,34.98
763,98.45,34.85
765,96.92,33.02
766,96.73,32.88
767,96.55,32.58
768,96.38,32.00
770,96.35,33.27
771,96.00,33.58
772,95.87,33.72
773,95.70,33.93
774,96.37,33.97
775,96.20,34.10
776,97.02,33.75
777,97.98,34.58
778,98.25,34.87
779,99.17,35.35
780,99.38,35.42
781,99.47,35.43
782,101.02,36.85
783,100.92,36.97
784,99.57,37.13
785,98.90,36.93
786,98.38,37.02
787,98.38,37.27
788,97.13,37.35
789,95.90,37.48
791,94.50,35.87
794,93.85,35.50
795,93.32,35.32
796,93.03,35.12
797,92.93,34.93
798,92.62,34.37
799,92.35,33.95
800,92.37,34.12
801,92.10,33.72
802,91.87,33.32
803,91.95,32.93
804,91.67,32.18
805,91.70,31.83
814,100.10,37.40
